Pergunta,RespA,RespB,RespC,RespD,Correta
Qual é a capital do Brasil?,São Paulo,Rio de Janeiro,Brasília,Salvador,C
Qual é o maior planeta do nosso sistema solar?,Terra,Júpiter,Marte,Saturno,B
Quem pintou a Mona Lisa?,Van Gogh,Picasso,Leonardo da Vinci,Michelangelo,C
Quanto é 15 x 3?,30,35,40,45,D
Qual é o símbolo químico da água?,H2O,CO2,O2,NaCl,A
Qual destes não é um navegador de internet?,Chrome,Firefox,Safari,Python,D
Em que ano a Segunda Guerra Mundial terminou?,1940,1945,1950,1955,B
Qual é o animal terrestre mais rápido do mundo?,Leão,Guepardo,Leopardo,Tigre,B
De onde vem o acarajé?,Pernambuco,Minas Gerais,Bahia,Ceará,C
Quem escreveu Dom Casmurro?,Monteiro Lobato,José de Alencar,Machado de Assis,Clarice Lispector,C
